in s,C2 in V
-1.1840922E-01,2.48898E+00
-1.1840461E-01,2.48898E+00
-1.1840000E-01,2.46945E+00
-1.1839539E-01,2.46945E+00
-1.1839078E-01,2.44992E+00
-1.1838618E-01,2.41086E+00
-1.1838157E-01,2.44992E+00
-1.1837696E-01,2.44992E+00
-1.1837235E-01,2.52805E+00
-1.1836774E-01,2.43039E+00
-1.1836314E-01,2.44992E+00
-1.1835853E-01,2.52805E+00
-1.1835392E-01,2.52805E+00
-1.1834931E-01,2.50852E+00
-1.1834470E-01,2.48898E+00
-1.1834010E-01,2.43039E+00
-1.1833549E-01,2.48898E+00
-1.1833088E-01,2.48898E+00
-1.1832627E-01,2.46945E+00
-1.1832166E-01,2.52805E+00
-1.1831706E-01,2.46945E+00
-1.1831245E-01,2.46945E+00
-1.1830784E-01,2.46945E+00
-1.1830323E-01,2.48898E+00
-1.1829862E-01,2.43039E+00
-1.1829402E-01,2.46945E+00
-1.1828941E-01,2.50852E+00
-1.1828480E-01,2.43039E+00
-1.1828019E-01,2.48898E+00
-1.1827558E-01,2.43039E+00
-1.1827098E-01,2.44992E+00
-1.1826637E-01,2.43039E+00
-1.1826176E-01,2.46945E+00
-1.1825715E-01,2.50852E+00
-1.1825254E-01,2.44992E+00
-1.1824794E-01,2.48898E+00
-1.1824333E-01,2.43039E+00
-1.1823872E-01,2.48898E+00
-1.1823411E-01,2.48898E+00
-1.1822950E-01,2.54758E+00
-1.1822490E-01,2.52805E+00
-1.1822029E-01,2.48898E+00
-1.1821568E-01,2.46945E+00
-1.1821107E-01,2.48898E+00
-1.1820646E-01,2.46945E+00
-1.1820186E-01,2.46945E+00
-1.1819725E-01,2.48898E+00
-1.1819264E-01,2.48898E+00
-1.1818803E-01,2.52805E+00
-1.1818342E-01,2.46945E+00
-1.1817882E-01,2.48898E+00
-1.1817421E-01,2.48898E+00
-1.1816960E-01,2.52805E+00
-1.1816499E-01,2.54758E+00
-1.1816038E-01,2.52805E+00
-1.1815578E-01,2.52805E+00
-1.1815117E-01,2.56711E+00
-1.1814656E-01,2.50852E+00
-1.1814195E-01,2.50852E+00
-1.1813734E-01,2.54758E+00
-1.1813274E-01,2.50852E+00
-1.1812813E-01,2.50852E+00
-1.1812352E-01,2.50852E+00
-1.1811891E-01,2.52805E+00
-1.1811430E-01,2.48898E+00
-1.1810970E-01,2.48898E+00
-1.1810509E-01,2.50852E+00
-1.1810048E-01,2.52805E+00
-1.1809587E-01,2.54758E+00
-1.1809126E-01,2.52805E+00
-1.1808666E-01,2.52805E+00
-1.1808205E-01,2.58664E+00
-1.1807744E-01,2.52805E+00
-1.1807283E-01,2.60617E+00
-1.1806822E-01,2.52805E+00
-1.1806362E-01,2.56711E+00
-1.1805901E-01,2.52805E+00
-1.1805440E-01,2.50852E+00
-1.1804979E-01,2.50852E+00
-1.1804518E-01,2.54758E+00
-1.1804058E-01,2.50852E+00
-1.1803597E-01,2.58664E+00
-1.1803136E-01,2.50852E+00
-1.1802675E-01,2.56711E+00
-1.1802214E-01,2.54758E+00
-1.1801754E-01,2.58664E+00
-1.1801293E-01,2.60617E+00
-1.1800832E-01,2.64523E+00
-1.1800371E-01,2.56711E+00
-1.1799910E-01,2.48898E+00
-1.1799450E-01,2.66477E+00
-1.1798989E-01,2.52805E+00
-1.1798528E-01,2.58664E+00
-1.1798067E-01,2.56711E+00
-1.1797606E-01,2.54758E+00
-1.1797146E-01,2.52805E+00
-1.1796685E-01,2.54758E+00
-1.1796224E-01,2.50852E+00
-1.1795763E-01,2.58664E+00
-1.1795302E-01,2.54758E+00
-1.1794842E-01,2.52805E+00
-1.1794381E-01,2.60617E+00
-1.1793920E-01,2.56711E+00
-1.1793459E-01,2.52805E+00
